order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
bb953a084ab406da9e19dfdc06df0245,152b39d7f829538d9a25281cc20b0af6,delivered,2018-07-29 13:54:51,2018-07-29 14:24:20,2018-07-30 15:24:00,2018-08-13 19:08:37,2018-09-03 00:00:00
98e3a00dc4ec45980ec0c6fb585edef4,dd903c92a94852dba21e825785f2a037,delivered,2018-04-11 12:51:28,2018-04-12 08:32:31,2018-04-13 21:56:53,2018-04-19 11:16:42,2018-04-27 00:00:00
1f42f4d540bb667dcd3bde1a50c9e442,2d1f6ddb9f55c993ef3f71eec46464fa,delivered,2018-07-13 14:02:37,2018-07-13 15:04:07,2018-07-14 06:41:00,2018-07-25 19:51:56,2018-08-06 00:00:00
f23a4132d42810c7f591d372282ae3eb,57690c2fc610a75de4875a2b9f1826e6,delivered,2018-07-18 16:47:00,2018-07-18 17:02:23,2018-07-20 08:46:00,2018-07-23 21:08:34,2018-08-06 00:00:00
627275b5ff757bdc2c6bc89946ac43d3,a127202dbd242f846641f8332bc9bbf5,delivered,2018-08-11 15:37:03,2018-08-11 15:45:17,2018-08-22 14:19:00,2018-08-27 19:51:57,2018-09-05 00:00:00
4dadcd5f9e682c17fdc6dded70c048e0,e40265c6ceebf38ea830b695d9340bda,delivered,2017-05-07 13:53:39,2017-05-07 14:05:12,2017-05-08 11:44:57,2017-05-19 12:57:35,2017-05-31 00:00:00
6e9bb8c33064b3a94ab38ff1e71aa9ef,5332e4edbeef6f8ccb4bb0e9c7dd983b,delivered,2018-05-16 14:42:39,2018-05-17 02:55:31,2018-05-22 13:40:00,2018-06-07 16:26:59,2018-06-07 00:00:00
1aca9e580244f9953137f85a9eb5d143,33aa26697019cd0932ec06cd9b375051,delivered,2017-10-05 06:24:11,2017-10-05 06:49:19,2017-10-06 19:19:56,2017-10-23 20:31:47,2017-11-09 00:00:00
cea264d1835395ebe139f481d4b3fc5e,410283cc80041c4e264bebd76d51cdad,delivered,2017-12-09 20:03:41,2017-12-09 20:14:21,2017-12-12 22:19:36,2017-12-17 16:37:00,2018-01-04 00:00:00
da19f73a444dea9507b737d32d8eef61,7f26acabc0de284841a6faaf0c1c0d6e,delivered,2018-01-02 10:58:31,2018-01-02 11:11:06,2018-01-02 19:47:16,2018-01-11 21:20:00,2018-01-30 00:00:00
7483928c3fa3706bcc1777178cb1793d,6fb1293bde3b204b920003a3989dbea5,delivered,2018-07-24 13:49:21,2018-07-24 14:04:30,2018-07-24 14:09:00,2018-07-27 20:14:44,2018-08-10 00:00:00
cf34f0c3c6464f6cbca4e16b810f5553,d95a81ea868bdd86e57b8a551862f3a3,delivered,2017-10-09 15:30:44,2017-10-09 15:49:39,2017-10-10 16:53:53,2017-11-17 00:04:42,2017-11-09 00:00:00
fc1d4a8adb62b480c591455600955b2f,0260bd7b3bf780786cc7ad501287d9d3,delivered,2018-04-28 13:09:22,2018-04-28 13:34:21,2018-04-30 11:27:00,2018-05-04 15:56:54,2018-05-21 00:00:00
f46198db9ff29316c3d930efbef08666,0dc132dd6a84ba32be100a29704baa6b,delivered,2018-03-06 21:50:21,2018-03-06 22:09:26,2018-03-08 16:27:05,2018-04-09 21:56:50,2018-04-11 00:00:00
0332758ed6bf8f4c1ffa5b6bf5b5725d,1f09757902b8881d55a29f5380d546de,delivered,2018-03-01 18:43:02,2018-03-01 18:50:33,2018-03-09 15:38:34,2018-03-20 13:28:58,2018-04-10 00:00:00
f3bf8da6fd4b735f85852c38ca15e90e,c0314850cd5254ebcc66a4b00acd306c,delivered,2018-03-04 00:14:09,2018-03-06 09:55:33,2018-03-15 22:28:42,2018-03-18 13:07:24,2018-03-21 00:00:00
