customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
8b0bffcded3c6fc1514ab88b85d78d37,f0e05d7d6a629ce2768fc7d923ee70b2,15170,tanabi,SP
9abf606fc27c284b79f293ca455f99f5,8aaf36b618a4473f308a71f685a12c97,21321,rio de janeiro,RJ
8c709144446a29976affde2dcfe063af,3421619a31e48bcac1cc2e40707f0978,68515,parauapebas,PA
98b71ff28f7ea89054def4aba7f8225b,ee9fa2efc23d0a26e507906773e0ff1d,35500,divinopolis,MG
306cec97b910365317da80598f923435,34d074216ec67227eed68ca0f8eeef62,18406,itapeva,SP
b64b2b539c8cbf519fd5f950941981cc,5e78fcece3a6ff698f1bb31da2c5ccf7,29950,jaguare,ES
a45263aab483c922ef8f82a89f86c4d5,b71a52d5cc0a8877314061c5823822f5,71020,brasilia,DF
4c0e4e69a60620838f4c131f46498b06,6aa418a1635d2c09acc3f8a9751dbb1d,89813,chapeco,SC
77ba3722e956df4dcb1d7fe1e1eddc93,852194f9d026bd2a9a8d12bf995191f2,03067,sao paulo,SP
5b23795c3584b621ecb4efcb592c1971,16d185a0b670f133ae3c1d737185cb4b,22725,rio de janeiro,RJ
a9cff8ece3be5070b649a9c1e791ebf5,cd157ff77b4ef3c1e8263d18af1e4546,89135,apiuna,SC
09d9f8180c32474c99e6d50b0400687b,56dfd0cb7bce1329fe8f4766746f0078,29047,vitoria,ES
41629f77198c3f777c7704b91f5effe4,c5fe74f1dfcbce3623c7705f0299629b,22010,rio de janeiro,RJ
806c6547c32d65555fb424fcfd309a92,6c2968debfd83322fb739be4f2e7a7b9,90660,porto alegre,RS
4997cdbc9226ecc25242048bb5fc425e,f3772be93d6e37750531a252f637e94b,12305,jacarei,SP
acb3477acf26f7afd9714d9470c23552,479f918c055f351de04937dcabb3b308,06033,osasco,SP
18207bfa3ee93516926cc203d7558453,3ba794446d7dcd78767a2683f3ebcfa7,09891,sao bernardo do campo,SP
deca74811eafebd0f6bf28394e96b935,b97e5325a1d545f51e4c76832e020a88,38702,patos de minas,MG
07473aa73a7244877192373a2dbf4b43,99b3e27b12833cdc81ec126bf49721e4,64290,altos,PI
f0781957f383921320d238faa1255f4e,ea7c9f64e2cf32dbfa722b16058fd07f,01329,sao paulo,SP
83b8264988c66fd059c5289c87e960a7,22d2877b9ca5e488deee37db9028f56f,82320,curitiba,PR
7fe98b2b2fa5e20a973f275bd5121c2a,9a23e1dd0907387c8828590da70648ee,39390,bocaiuva,MG
e5969b5d6ff813ccb25b96aca4a9debb,dde5d3aa9240a195f31460f12f526ec6,21755,rio de janeiro,RJ
1efc3e831bd27060077fa4113a602c85,a616efa5c39f96dd2ac56f99b4b3b14d,89035,blumenau,SC
df7f0c302322f4a233a07fb9cbddb46c,7dd163b8e3d4e09daa9e16091dd6dd26,04002,sao paulo,SP
6726c2dc9955a5617dd2144d32eb986f,36d8163d058b1fef06dbe40506eb8aa4,02202,sao paulo,SP
c5a7ca6a5aff998a93667bf3933db1fe,8d594d505acaac0aa1b1407d7a253ebb,15056,sao jose do rio preto,SP
5891a669860ff528415efe6678c95f53,f7d86e04c9c498efc7b73a6a1bd44629,02256,sao paulo,SP
586068537ced131bb1950d007e218c6f,db898fbe949888ae7f95398cb9e4eb63,99920,erebango,RS
061435b8938e25375c2bcf58dff7745b,0526069a90ad5605a9b7b0c21bb9d1ca,07025,guarulhos,SP
58eef387307ca6f5acbe151dbd4d1b10,70f437bf3a02c658a32b320b87e25127,06328,carapicuiba,SP
6746ee7b44577373241b9a9d933cbea6,173ad75d7ffd8702409e735638343ff7,85930,nova santa rosa,PR
d55023a644392a6e51f8b824538c54a5,f86401d5c7601b37319ee72423d25e92,04784,sao paulo,SP
44a7a192f080bb63e061c2537acd4ecb,23cc5aa388da66112c809072f0643d25,04140,sao paulo,SP
c4ab204c9228aba26422ceec427ce1bc,544bd839b4e7f92a077c7bf2410f8b02,41820,salvador,BA
1b240b4652db64faf8dae9227566ca6b,ff954b7ff58241497c8afa9ac3d853a2,74325,goiania,GO
7bb9baed1a0bbe1688da57d56a71b89d,63d91d8ac39f522652715688a8c60111,13348,indaiatuba,SP
61f4238594a04fd968bb327c9d8a77f8,f25e1c8fd84f68bd027100754df41932,08235,sao paulo,SP
8208410c1bd85a4802e3b0f1926de27f,3397c84b2c0b3840b0b27c774b67598a,87501,umuarama,PR
e6fbb4cd7a63ea4863efc08e62db0186,43bdd205ff0d4bb2249dcc9db98da43c,03066,sao paulo,SP
27e4e9e54add87b994001667ceb67802,4184ad10db5291e0ecf30e411804d1a0,68515,parauapebas,PA
1c80b2055d01d3abf9a94ff2d676925c,d0665e0d9a9a44c9983bcf19357763c6,19025,presidente prudente,SP
431bdad95e6781a18b295b98d87335fc,830f7609dc78b878bf555097ffeaaf4a,71881,brasilia,DF
aebfc036a3fef8053e9649b7463d0599,be159a97fb722315797491d36ca66990,28860,casimiro de abreu,RJ
d4ef7f273c01134ab9dbdde58bca08c0,ba93b30c40aeedd1996a5218a0edb45f,11065,santos,SP
64a9413c0d06e2170ffac2219c86bd19,56e06272391aead8929ecd6878706019,15820,pirangi,SP
6c35c047c1722366ee705c6e73847f80,9468d5f47f7860aa11cc73deda96af0a,05145,sao paulo,SP
6ec0f068eeb7a1906252032ef310d39f,635b217806b95a2d5351a75b895819b6,28750,trajano de moraes,RJ
4c7f055006ab8fb080459718346ee92e,5b1ff3e6acf9ea1441123e0be2aef453,32670,betim,MG
388dddfd2782f08bc557f2d504526dd5,3b4887c2c4c9336c5f97047b478451e1,22713,rio de janeiro,RJ
37f39e7a015413ba64cdf329b0bcc693,2ecfaea14bd703ab890a6036cc4e16cf,12042,taubate,SP
e8b486d2b45d48718876986d633f4bff,f88eca4141f0fe84d2757c41df9b4cd9,01310,sao paulo,SP
f72661bdcf57a1ace81791c42c20754b,0875b9b3ae971f2075c8bcaec7ee0737,05036,sao paulo,SP
b63c3897b6259fc5ea20bb997624ba7c,3e561d1999bcd899e4b375a388ae2bb8,06445,barueri,SP
