review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
7b00d98bac04a404375e12b9ff15b749,cb1d3422684cab64f603f1b70a68e2ef,3,Não vale muito apena ,Não gostei do produto o cabelo fico só um pouco platinado quase nada= não vale o valor que está sendo vendido ,2018-06-12 00:00:00,2018-06-18 02:48:33
9bd2b7bfbbd0a5eae20e54b763cad469,6eac9b191502f0f4d373dbbad5aa7253,4,,,2018-06-26 00:00:00,2018-07-02 20:52:58
33f103292865caca4fb10af8b67039e6,e9f522c53167fa577d6c160031595440,5,,,2018-04-28 00:00:00,2018-04-30 22:44:36
57191740970d064b45b0b3fa772ccf44,3fa7ae01a5f654e3cdd31aa461a42de3,5,,,2018-03-10 00:00:00,2018-03-12 22:53:03
6727df7c5b67e8435f6d3a1ec8cd2f90,98c9230069ea6f83d349fbdcac5928ea,4,,,2018-02-23 00:00:00,2018-02-23 21:56:36
1d2c25c6a63121ae21b10361cd825be4,90ec36af71b9d7450e0db5083efc90fe,5,,Produto conforme anunciado.,2018-02-28 00:00:00,2018-03-03 00:47:34
ee2c7187998feddf5df961011c1f5f6c,0e80321be8a729339d21fdcfb58967bd,5,,Serviço maravilho e produto também!,2018-03-21 00:00:00,2018-03-22 11:05:14
9e5359a7f0bf2a1153e67be4b658fa72,ca90e0247838f37e708b833b004ba84b,5,,,2018-07-11 00:00:00,2018-07-12 13:51:13
bc2b260cad8fa414238d86638063bed3,7beaa9cf684b466e527383b1ca40fe07,5,,,2017-12-19 00:00:00,2017-12-20 01:07:32
d683039ed1b0b3b6d8a025c73fa5deb2,07ffab4def2a95548ff6ef1b9d7e0f5a,1,,Produto não foi entregue até o presente momento e o prazo dado pela empresa já expirou. ,2018-04-07 00:00:00,2018-04-07 11:53:04
aae8bb3315a74182831c7a0c0d3e0c23,853eb57e7109781f60bfaec58c70c258,2,,,2017-05-28 00:00:00,2017-05-28 15:55:44
1cbe499ff5e4d13798b0a89229364d2a,17854cb973394948ffc171595b2ea615,3,Ruim. Veio o rosa e pedi ,,2018-07-03 00:00:00,2018-07-03 23:46:39
a395368800e1395e1fbf83e95d3540f8,a94ef235b449b3aecceeb9b582658216,4,,,2017-07-21 00:00:00,2017-07-22 16:27:20
3e979b9941186aa648f891eb22e28236,431a4888e53cb066a60108014f340221,5,,,2017-05-20 00:00:00,2017-05-22 20:57:41
2f347ef58bc5551e752be6f1ce7fc051,64a34bd8faf1ed47e5d3fa8627431a3a,4,,,2018-01-05 00:00:00,2018-01-05 21:03:57
d8dfba7596f163aa36c4b0efd290b431,43124f0bf70404231018bff9b132a297,1,,Pedi 4 unidades do produto e recebi só 3 até o momento é o aplicativo acusa que eu já recebi o produto. Lamentável é absurdo. Onde reclamo?,2018-03-30 00:00:00,2018-04-01 23:19:20
b4ce585abd847decde016e9867578b90,abf477397730e4da1404a016e901f543,4,,"Achei o tecido um pouco fino, mas acho que atendeu em parte minha expectativa ",2017-09-30 00:00:00,2017-10-02 12:55:14
b5874b1ad918d422737da6d9c0e5b3eb,5e98ca2727e44977e9f5be0d45a0d369,5,Excelente,Agilidade é semana um diferencial!,2018-06-12 00:00:00,2018-06-14 23:25:07
