order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
8426a61c687c38a2fb35080413ec9eb4,1,110adb18eeba9a0984478ee3c9302e16,080199a181c46c657dc5aa235411be3b,2017-10-31 23:07:19,179.49,9.45
8426c20fc1f780e653122762baef129e,1,59ebd2c07d59483d0855b5b3d5e18728,ea8482cd71df3c1969d7b9473ff13abc,2017-12-22 16:33:29,27.99,11.85
842e1880e0859a810c436d8576aab76b,1,54d9ac713e253fa1fae9c8003b011c2a,955fee9216a65b617aa5c0531780ce60,2018-05-07 12:31:17,35.0,12.43
84300a0c4b27875cb77c89f5383df360,1,3c28d10ea65fbafd9792027334cf4544,f27e33c6d29b5138fa9967bcd445b6d5,2017-11-27 04:09:32,54.9,7.78
843987ad16fdca324fc74eb57896cee2,1,f4a38926843e01497a3f63a5d5740c72,8b321bb669392f5163d04c59e235e066,2018-03-08 12:15:34,13.65,15.1
844bfdffbe80e8ac61135bc633f2dce1,1,9483476ac5b7549f7df5ff12fb6fb5d9,615005a3ef192c00c6f0e977cee3d2bc,2017-08-23 13:04:38,23.4,14.92
844bfdffbe80e8ac61135bc633f2dce1,2,72172e982e8b92155069e4201c92c0bb,e9779976487b77c6d4ac45f75ec7afe9,2017-08-23 13:04:38,37.49,2.61
84568d93e897d1d8db26cb9b9d157700,1,31a2f42a87890f87d77daebdfabc182e,4c03b9dd4c11ee2cb35c96c49efc9420,2017-07-06 19:30:18,149.0,20.28
845d8a54af235bee2c6f64f11c13c9cb,1,64315bd8c0c47303179dd2e25b579d00,7aa4334be125fcdd2ba64b3180029f14,2017-11-30 15:14:28,89.8,24.94
845f4b93a5d0c16feb325ed52d31799b,1,8470bac0f1a7439fe183013eab283534,4a3ca9315b744ce9f8e9374361493884,2017-04-05 03:02:36,239.9,22.13
845faa625ef6a2b4549edd96a4bb7308,1,9393c06fcb6d7bc8e988eea2a0ecc64d,3d5d0dc7073a299e31fa718ce1bc00b6,2018-08-07 20:24:13,55.0,18.54
846c2255d0eedb2043aa0b3dc470f32b,1,0cb8c29f963ae2069fcc3afe95fd93c1,f783a638e9c6af4a7d0dbfde811e7a81,2018-02-09 20:32:07,134.9,28.32
847a065b23a7d02398792f10f38a9b12,1,8f220439e328e0c1b68510c238d07e86,47648caee88ccfe951fbb27fbf7b4cbe,2018-04-09 10:30:27,579.99,18.94
8486fd83698ac11d01786e0d04f9ec8d,1,9ddc4249779322828f89d2a9c04f7ee1,9d5a9018aee56acb367ba9c3f05d1d6a,2018-03-27 20:35:36,112.33,15.8
84992c4145bf78ab42c0e997506e8ecf,1,f0606ca7e8022a81e0fa25ea3e334717,1da3aeb70d7989d1e6d9b0e887f97c23,2018-03-22 10:50:28,39.99,18.28
84b493c33c9917471d9c6322d3c2c4f3,1,18486698933fbb64af6c0a255f7dd64c,6973a06f484aacf400ece213dbf3d946,2018-04-03 03:48:30,83.49,7.92
84b493c33c9917471d9c6322d3c2c4f3,2,dbb67791e405873b259e4656bf971246,9c0e69c7bf2619675bbadf47b43f655a,2018-04-03 03:48:30,81.99,7.93
84cd555d3d1f2b32fb392b1dff57a851,1,8301e489165ea0f91dd987fafebbe58c,537eb890efff034a88679788b647c564,2018-03-12 12:16:04,28.9,15.23
84f40c055bf1ed329fcf2f4ec4e9e9df,1,756eab67d3c0edae186c4617412c056b,edb1ef5e36e0c8cd84eb3c9b003e486d,2018-08-06 23:24:19,1095.65,25.77
85008a8fe3cde72dea5abbbc2be0a2f8,1,57f202d5e0ed7a3a2d75e479e1579cfe,3d871de0142ce09b7081e2b9d1733cb1,2017-10-03 15:24:47,29.9,16.11
851edd7bad3021e86dd7fa72e9a5688a,1,fe077ec80df6b4ee60bb4498d5ab1962,87142160b41353c4e5fca2360caf6f92,2017-07-24 16:35:13,149.0,16.48
8528dca53d56bc80b2762f5506b12296,1,cebff45f1d1558430be0e07ac0df6a68,c003204e1ab016dfa150abc119207b24,2018-08-15 17:25:16,95.9,11.69
852d2f4d37773bcbc21c8e09a05a4ea5,1,33f17ed3c6906f7a7ae17a0843536db4,ea8482cd71df3c1969d7b9473ff13abc,2018-03-13 16:15:30,27.99,8.4
853052349cf24c16fe2a0a29df1d7a12,1,f177b434709ecb652dbee4f4b19aef2f,d98eec89afa3380e14463da2aabaea72,2018-02-22 01:07:51,29.99,15.1
853bcc471d6ed0eb620a497023eb9fa6,1,b9732f4c0f20039130f5ff8cea1c2cb3,d4ffeb15b67e81ff9af2b4252d99fb7e,2018-05-30 14:31:54,95.0,43.25
853eb57e7109781f60bfaec58c70c258,1,8afd2ec5bf821e4d1a061e7ca31cac24,6560211a19b47992c3666cc44a7e94c0,2017-04-28 13:35:18,125.0,25.36
854ebcd4c13f49162d6b07c1813f71d2,1,bee0c416b1b3ef44a263c18c47f76cda,70a12e78e608ac31179aea7f8422044b,2017-04-20 15:01:56,28.5,16.69
